Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,November,December,January,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Drought/Wildfire,Gabon,GAB,DR,Drought,INFORM risk-score API,1.5,December,Very Low,3,0,1.4,1.5,0.6,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Guinea-Bissau,GNB,DR,Drought,INFORM risk-score API,1.5,November,Very Low,3,0,1.5,1.5,1.5,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Togo,TGO,DR,Drought,INFORM risk-score API,1.5,November,Very Low,3,0,1.5,1.5,1.5,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Congo,COG,DR,Drought,INFORM risk-score API,0.5,November,Very Low,3,0,0.5,0.4,0.4,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Ghana,GHA,DR,Drought,INFORM risk-score API,0.5,November,Very Low,3,0,0.5,0.3,0.1,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Côte d'Ivoire,CIV,DR,Drought,INFORM risk-score API,0.3,November,Very Low,3,0,0.3,0.2,0.1,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Guinea,GIN,DR,Drought,INFORM risk-score API,0.3,November,Very Low,3,0,0.3,0.3,0.3,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Liberia,LBR,DR,Drought,INFORM risk-score API,0.3,November,Very Low,3,0,0.3,0.1,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Mauritius,MUS,DR,Drought,INFORM risk-score API,0.3,November,Very Low,3,0,0.3,0.3,0.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Benin,BEN,DR,Drought,INFORM risk-score API,0.1,November,Very Low,3,0,0.1,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Nigeria,NGA,DR,Drought,INFORM risk-score API,0.1,November,Very Low,3,0,0.1,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Central African Republic,CAF,DR,Drought,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
