Region Code,Region,UN Regional Group,Country,ISO3,Disease,Disease Key,Priority Band,WHO Risk,WHO Risk Scope,CDC Level,Sources,Source Count,Latest Report Date,Evidence,Source URLs,Colour,DREF Status,Presentation Rank,Selection Basis
1,Americas,South America,Colombia,COL,Yellow Fever,Yellow Fever,C,,,2,CDC THN,1,2025-09-02,CDC Level 2 current Travel Health Notice.,https://wwwnc.cdc.gov/travel/notices/level2/yellow-fever-colombia,Orange,DREF uncertain/probable,1,Next eligible WHO/CDC priority band
0,Africa,Eastern Africa,Ethiopia,ETH,Marburg virus disease,Marburg,B,High,National,,WHO DON,1,2025-11-21,The public health risk posed by the MVD outbreak is assessed as high at the national level due to several concerning factors: The outbreak involves six laboratory-confirmed cases; there have been a total of six deaths and there are three confirmed cases under treatment. Status: Latest WHO report contains no explicit closure statement.,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON585,Red,DREF highly probable,1,WHO High and/or CDC Level 3 (no Band A country)
2,Asia-Pacific,Southern Asia,Bangladesh,BGD,Nipah virus infection,Nipah,C,Moderate,National,,WHO DON,1,2025-09-18,"Based on the current available information, WHO assesses the overall public health risk posed by NiV at the national level to be moderate , taking into consideration the high case fatality rate, no availability of specific drugs or vaccines for NiV infection and the difficulty of early diagnosis. Status: Latest WHO report contains no explicit closure statement.",https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON582,Orange,DREF uncertain/probable,1,Next eligible WHO/CDC priority band
