Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,April,May,June,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Drought/Wildfire,Niger,NER,DR,Drought,INFORM risk-score API,4.9,June,Medium,3,0,4.7,4.7,4.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Malawi,MWI,DR,Drought,INFORM risk-score API,4.5,April,Medium,3,0,4.5,4.4,4.4,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Mali,MLI,DR,Drought,INFORM risk-score API,4.5,June,Medium,3,0,3.6,3.8,4.5,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Lesotho,LSO,DR,Drought,INFORM risk-score API,4.4,May,Medium,3,0,4.1,4.4,3.9,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Sudan,SDN,DR,Drought,INFORM risk-score API,4.4,June,Medium,3,0,4.2,4.0,4.4,Northern Africa,,Northern Africa
0,Africa,Drought/Wildfire,"Tanzania, United Republic of",TZA,DR,Drought,INFORM risk-score API,4.4,April,Medium,3,0,4.4,4.3,4.2,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Mauritania,MRT,DR,Drought,INFORM risk-score API,4.2,April,Medium,3,0,4.2,4.2,4.2,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Angola,AGO,DR,Drought,INFORM risk-score API,4.1,April,Medium,3,0,4.1,3.9,3.9,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Djibouti,DJI,DR,Drought,INFORM risk-score API,4.1,April,Medium,3,0,4.1,4.1,4.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Madagascar,MDG,DR,Drought,INFORM risk-score API,4.1,April,Medium,3,0,4.1,4.1,4.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Senegal,SEN,DR,Drought,INFORM risk-score API,3.9,June,Medium,1,0,2.7,2.9,3.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Eritrea,ERI,DR,Drought,INFORM risk-score API,3.8,April,Medium,2,0,3.8,3.3,3.8,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,"Eswatini, Kingdom of",SWZ,DR,Drought,INFORM risk-score API,3.7,April,Medium,3,0,3.7,3.7,3.7,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,South Sudan,SSD,DR,Drought,INFORM risk-score API,3.7,June,Medium,1,0,3.3,3.5,3.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Rwanda,RWA,DR,Drought,INFORM risk-score API,3.5,April,Low,3,0,3.5,3.4,3.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Burundi,BDI,DR,Drought,INFORM risk-score API,3.4,April,Low,3,0,3.4,3.4,3.4,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Cameroon,CMR,DR,Drought,INFORM risk-score API,3.1,April,Low,3,0,3.1,3.0,3.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Zambia,ZMB,DR,Drought,INFORM risk-score API,2.8,April,Low,3,0,2.8,2.8,2.8,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,"Gambia, Republic of The",GMB,DR,Drought,INFORM risk-score API,2.6,June,Low,3,0,2.2,2.2,2.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Togo,TGO,DR,Drought,INFORM risk-score API,2.4,April,Low,2,0,2.4,2.2,1.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Guinea-Bissau,GNB,DR,Drought,INFORM risk-score API,2.0,June,Very Low,3,0,1.5,1.5,2.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Cabo Verde,CPV,DR,Drought,INFORM risk-score API,1.6,April,Very Low,3,0,1.6,1.6,1.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Democratic Republic of Congo,COD,DR,Drought,INFORM risk-score API,1.5,April,Very Low,3,0,1.5,1.4,1.4,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Gabon,GAB,DR,Drought,INFORM risk-score API,0.9,June,Very Low,3,0,0.6,0.3,0.9,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Ghana,GHA,DR,Drought,INFORM risk-score API,0.8,April,Very Low,3,0,0.8,0.8,0.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Guinea,GIN,DR,Drought,INFORM risk-score API,0.8,June,Very Low,3,0,0.4,0.7,0.8,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Côte d'Ivoire,CIV,DR,Drought,INFORM risk-score API,0.6,April,Very Low,3,0,0.6,0.3,0.2,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Benin,BEN,DR,Drought,INFORM risk-score API,0.5,April,Very Low,3,0,0.5,0.4,0.2,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Nigeria,NGA,DR,Drought,INFORM risk-score API,0.5,April,Very Low,3,0,0.5,0.4,0.4,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Central African Republic,CAF,DR,Drought,INFORM risk-score API,0.4,April,Very Low,3,0,0.4,0.3,0.1,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Congo,COG,DR,Drought,INFORM risk-score API,0.3,April,Very Low,3,0,0.3,0.2,0.3,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Mauritius,MUS,DR,Drought,INFORM risk-score API,0.3,April,Very Low,3,0,0.3,0.3,0.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Liberia,LBR,DR,Drought,INFORM risk-score API,0.1,April,Very Low,3,0,0.1,0.1,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Comoros,COM,DR,Drought,INFORM risk-score API,0.0,April,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Equatorial Guinea,GNQ,DR,Drought,INFORM risk-score API,0.0,April,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Sao Tome and Principe,STP,DR,Drought,INFORM risk-score API,0.0,April,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Seychelles,SYC,DR,Drought,INFORM risk-score API,0.0,April,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Sierra Leone,SLE,DR,Drought,INFORM risk-score API,0.0,April,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,"Tanzania, United Republic of",TZA,FL,Flood,INFORM risk-score API,5.8,April,High,1,1,5.8,5.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Kenya,KEN,FL,Flood,INFORM risk-score API,5.6,May,High,2,2,5.2,5.6,1.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Côte d'Ivoire,CIV,FL,Flood,INFORM risk-score API,5.6,June,High,1,1,0.0,0.0,5.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Ghana,GHA,FL,Flood,INFORM risk-score API,4.9,June,Medium,1,0,2.5,0.0,4.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Gabon,GAB,FL,Flood,INFORM risk-score API,4.8,June,Medium,1,0,0.0,0.0,4.8,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Niger,NER,FL,Flood,INFORM risk-score API,4.6,June,Medium,1,0,0.0,0.0,4.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Rwanda,RWA,FL,Flood,INFORM risk-score API,4.4,April,Medium,1,0,4.4,1.3,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Somalia,SOM,FL,Flood,INFORM risk-score API,4.2,April,Medium,2,0,4.2,4.2,1.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
