Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,January,February,March,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Drought/Wildfire,Democratic Republic of Congo,COD,DR,Drought,INFORM risk-score API,1.6,March,Very Low,3,0,1.5,1.5,1.6,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Guinea-Bissau,GNB,DR,Drought,INFORM risk-score API,1.5,January,Very Low,3,0,1.5,1.5,1.5,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Gabon,GAB,DR,Drought,INFORM risk-score API,1.2,March,Very Low,3,0,0.6,1.1,1.2,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Côte d'Ivoire,CIV,DR,Drought,INFORM risk-score API,1.0,March,Very Low,3,0,0.1,0.3,1.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Ghana,GHA,DR,Drought,INFORM risk-score API,1.0,March,Very Low,3,0,0.1,0.3,1.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Central African Republic,CAF,DR,Drought,INFORM risk-score API,0.5,March,Very Low,3,0,0.0,0.1,0.5,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Nigeria,NGA,DR,Drought,INFORM risk-score API,0.5,March,Very Low,3,0,0.0,0.0,0.5,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Benin,BEN,DR,Drought,INFORM risk-score API,0.4,March,Very Low,3,0,0.0,0.0,0.4,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Congo,COG,DR,Drought,INFORM risk-score API,0.4,January,Very Low,3,0,0.4,0.3,0.3,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Guinea,GIN,DR,Drought,INFORM risk-score API,0.3,January,Very Low,3,0,0.3,0.3,0.3,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Mauritius,MUS,DR,Drought,INFORM risk-score API,0.3,January,Very Low,3,0,0.3,0.3,0.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Liberia,LBR,DR,Drought,INFORM risk-score API,0.1,March,Very Low,3,0,0.0,0.0,0.1,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Comoros,COM,DR,Drought,INFORM risk-score API,0.0,January,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Equatorial Guinea,GNQ,DR,Drought,INFORM risk-score API,0.0,January,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Sao Tome and Principe,STP,DR,Drought,INFORM risk-score API,0.0,January,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Seychelles,SYC,DR,Drought,INFORM risk-score API,0.0,January,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Sierra Leone,SLE,DR,Drought,INFORM risk-score API,0.0,January,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Madagascar,MDG,FL,Flood,INFORM risk-score API,7.2,February,Very High,2,2,3.6,7.2,7.2,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Mozambique,MOZ,FL,Flood,INFORM risk-score API,6.3,January,High,1,1,6.3,3.5,2.8,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Namibia,NAM,FL,Flood,INFORM risk-score API,6.1,March,High,2,2,5.2,2.6,6.1,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Zimbabwe,ZWE,FL,Flood,INFORM risk-score API,6.0,January,High,1,1,6.0,4.8,3.6,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Zambia,ZMB,FL,Flood,INFORM risk-score API,5.5,March,High,1,1,3.7,4.6,5.5,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Malawi,MWI,FL,Flood,INFORM risk-score API,5.3,January,High,1,1,5.3,3.2,4.8,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Angola,AGO,FL,Flood,INFORM risk-score API,5.1,March,High,1,1,3.2,2.6,5.1,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,South Africa,ZAF,FL,Flood,INFORM risk-score API,5.0,March,Medium,1,0,1.7,1.7,5.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Botswana,BWA,FL,Flood,INFORM risk-score API,4.8,February,Medium,2,0,1.2,4.8,3.6,Sub-Saharan Africa,Southern Africa,Southern Africa
